year,population
1950,539190000
1951,548899000
1952,558618000
1953,571645000
1954,583469000
1955,596759000
1956,610335000
1957,622782000
1958,637931000
1959,650508000
1960,654908000
1961,654696000
1962,656851000
1963,673296000
1964,695809000
1965,713788000
1966,733044000
1967,751761000
1968,770292000
1969,791731000
1970,812550000
1971,834068000
1972,854072000
1973,873284000
1974,891870000
1975,908745000
1976,923489000
1977,937256000
1978,949837000
1979,962486000
1980,976090000
1981,990237000
1982,1005205000
1983,1021971000
1984,1036159000
1985,1051541000
1986,1068075000
1987,1086392000
1988,1106043000
1989,1124446000
1990,1143536000
1991,1163629000
1992,1177948000
1993,1191201000
1994,1203417000
1995,1214590000
1996,1225678000
1997,1236211000
1998,1246068000
1999,1255626000
2000,1264727000
2001,1274435000
2002,1283015000
2003,1290719000
2004,1298316000
2005,1305885000
2006,1314169000
2007,1321939000
2008,1329688000
2009,1337954000
2010,1347092000
2011,1356031000
2012,1364470000
2013,1374572000
2014,1383444000
2015,1392459000
2016,1399809000
2017,1408296000
2018,1416413000
2019,1421605000
2020,1425436000
2021,1426776000
2022,1426098000
2023,1424261000